City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Northam,GB,2022-07-16 19:25:31,51.0333,-4.2167,73.26,59,100,4.09
213,Laguna,US,2022-07-16 19:20:36,38.421,-121.4238,101.08,39,0,3.0
214,Pangnirtung,CA,2022-07-16 19:25:31,66.1451,-65.7125,50.0,81,40,17.27
215,Cooma,AU,2022-07-16 19:25:32,-36.2333,149.1333,43.34,55,0,17.54
216,Talcahuano,CL,2022-07-16 19:25:32,-36.7167,-73.1167,53.28,66,40,8.05
217,Cameron Park,US,2022-07-16 19:25:32,38.6688,-120.9872,104.47,23,0,5.01
218,Kavaratti,IN,2022-07-16 19:25:33,10.5669,72.642,81.82,80,100,14.54
219,Provideniya,RU,2022-07-16 19:20:41,64.3833,-173.3,51.24,55,100,4.41
220,Binghamton,US,2022-07-16 19:20:54,42.0987,-75.918,87.01,44,0,5.99
221,Nisia Floresta,BR,2022-07-16 19:25:33,-6.0911,-35.2086,80.98,86,42,13.31
222,Mpika,ZM,2022-07-16 19:25:34,-11.8343,31.4529,55.22,56,39,4.18
223,Buchanan,LR,2022-07-16 19:25:35,5.8808,-10.0467,76.73,84,96,11.43
224,Tabas,IR,2022-07-16 19:25:35,33.5959,56.9244,91.0,8,0,16.6
225,Vilcun,CL,2022-07-16 19:25:36,-38.65,-72.2333,43.54,79,100,8.28
226,Senigallia,IT,2022-07-16 19:25:36,43.7093,13.2167,83.68,73,13,3.44
227,Coihaique,CL,2022-07-16 19:26:37,-45.5752,-72.0662,39.15,70,75,4.61
228,Voh,NC,2022-07-16 19:26:37,-20.9667,164.7,60.13,76,3,5.97
229,Georgetown,MY,2022-07-16 19:22:04,5.4112,100.3354,82.89,89,20,2.3
230,Colesberg,ZA,2022-07-16 19:26:38,-30.72,25.0972,53.89,37,0,4.83
231,Krasnoyarskiy,RU,2022-07-16 19:26:38,51.965,59.8967,65.14,78,0,9.06
232,Aksarka,RU,2022-07-16 19:25:50,66.5606,67.7975,53.67,66,9,7.25
233,Wewak,PG,2022-07-16 19:26:39,-3.5534,143.6268,79.32,87,99,11.79
234,Fallon,US,2022-07-16 19:26:04,39.4735,-118.7774,98.92,18,20,4.61
235,Arraial Do Cabo,BR,2022-07-16 19:23:17,-22.9661,-42.0278,80.56,69,0,12.66
236,Mahebourg,MU,2022-07-16 19:26:39,-20.4081,57.7,71.89,73,75,11.5
237,Brandon,US,2022-07-16 19:24:57,27.9378,-82.2859,94.19,68,100,5.01
238,Cockburn Town,TC,2022-07-16 19:26:40,21.4612,-71.1419,85.96,70,40,17.27
239,Pokosnoye,RU,2022-07-16 19:26:40,55.5258,101.0536,48.69,91,14,2.68
240,Kenitra,MA,2022-07-16 19:26:40,34.261,-6.5802,75.96,80,0,10.29
241,Busteni,RO,2022-07-16 19:26:41,45.4,25.5333,60.71,59,0,2.86
242,Richards Bay,ZA,2022-07-16 19:26:41,-28.783,32.0377,62.38,84,0,6.6
243,Rurrenabaque,BO,2022-07-16 19:26:42,-14.4413,-67.5278,87.98,54,66,7.54
244,Vardo,NO,2022-07-16 19:26:42,70.3705,31.1107,51.78,100,100,20.71
245,Tasiilaq,GL,2022-07-16 19:23:28,65.6145,-37.6368,50.16,65,95,3.0
246,Grao Mogol,BR,2022-07-16 19:26:42,-16.5594,-42.8897,80.78,32,2,6.17
247,Panzhihua,CN,2022-07-16 19:26:43,26.5851,101.7128,77.63,72,100,1.86
248,Molteno,ZA,2022-07-16 19:26:43,-31.3968,26.3625,49.21,37,0,5.64
249,Pevek,RU,2022-07-16 19:23:06,69.7008,170.3133,34.5,94,100,3.67
250,Loubomo,CG,2022-07-16 19:26:44,-4.1997,12.6739,70.86,74,58,8.32
251,Dunedin,NZ,2022-07-16 19:26:44,-45.8742,170.5036,40.8,69,100,1.01
252,Saint Stephen,GB,2022-07-16 19:26:44,50.3333,-4.9,71.2,60,0,6.91
253,Nabire,ID,2022-07-16 19:26:45,-3.3667,135.4833,75.42,96,100,5.82
254,Itarema,BR,2022-07-16 19:26:45,-2.9248,-39.9167,83.55,67,12,16.75
255,Ixtapa,MX,2022-07-16 19:25:38,20.7,-105.2,86.23,66,75,6.91
256,Santa Cruz,BO,2022-07-16 19:26:46,-17.8,-63.1667,62.06,100,100,14.97
257,Beringovskiy,RU,2022-07-16 19:26:46,63.05,179.3167,53.26,72,15,6.85
258,Agropoli,IT,2022-07-16 19:24:49,40.3469,14.9966,79.09,86,0,1.03
259,Guerrero Negro,MX,2022-07-16 19:26:47,27.9769,-114.0611,71.67,68,100,12.1
260,Taunggyi,MM,2022-07-16 19:26:47,20.7833,97.0333,64.51,98,87,3.09
